	race_id	horse_id	jockey_id	trainer_id	sex	age	weight	weight_diff	yosou_odds	popularity	impost	wakuban	umaban
0	202405050812	2020190005	5271	5701	2	4	496	0	19.3	9	58.0	1	1
1	202405050812	2019105748	1179	1176	0	5	430	4	34.1	10	58.0	2	2
2	202405050812	2019105283	666	1061	0	5	510	6	2.4	1	58.0	3	3
3	202405050812	2019105346	5473	1157	0	5	468	-2	7.1	3	58.0	3	4
4	202405050812	2019104447	1157	1070	2	5	478	8	40.7	11	58.0	4	5
5	202405050812	2019105195	1126	1070	0	5	492	-6	61.1	12	58.0	4	6
6	202405050812	2021110048	1163	1075	0	3	488	0	14.8	7	56.0	5	7
7	202405050812	2020190003	5366	5518	0	4	454	0	12.6	5	58.0	5	8
8	202405050812	2021105643	5339	1126	1	3	494	4	3.3	2	54.0	6	9
9	202405050812	2020103650	5495	1103	0	4	470	0	12.8	6	58.0	6	10
10	202405050812	2016106606	1135	1002	0	8	530	4	279.0	14	58.0	7	11
11	202405050812	2020102899	1170	1038	0	4	476	8	15.8	8	58.0	7	12
12	202405050812	2020190004	5661	90483	0	4	440	0	125.7	13	58.0	8	13
13	202405050812	2019104740	1088	1118	1	5	500	0	10.6	4	56.0	8	14
